,Text,Offensive
3611,"Lol. S person shearing stage with lalu , giving castism remarks in Punjab 
A big hypocrite..",OAG
3612,"you are not disabled, you are adorable.....",NAG
3613,"Good information but you omitted to mention Cong,sp,BSP, TMC, JDU etc etv",NAG
3614,Let me see....How many MUSLIM men stand up for this Poor Lady ??,CAG
3615,Omer Majeed why u abuse krishna ? krishna created prophets like muhmmad and u abused him ?,CAG
3616,Shame on indian express. I didnt find anything against AK in this video.,OAG
3617,Shocking but UK steel fiasco could have rightly been one of the reasons. But wonder if there is honestly a real successor to Mr Tata. And issues like this could have happened too with The Big Man around himself.,NAG
3618,Kejriwal is a great person who is daring to face the allegations of opposite.  U should be proud to Kejriwal and work for his party strength.,NAG
3619,anuj u r amazing keep going😊 I follow you  every day 8 am onwards,NAG
3620,If pak army enter 250 meter alongside thn wher were Rendian army,NAG
3621,Thanks guys for your inputs and have a great weekend. This was an expiry week which took everyone by surprise,NAG
3622,There are no poor people suffering .. the people are suffering are them who got crores of crores of rupees in black money..,NAG
3623,"In a country where Maa Durga is worshipped as the Universal Mother, a bunch of hooligans in a University, celebrate the demon whom she killed as a martyr and say she was a sex worker who seduced him and killed him after honeymooning with him. That is allowed as free speech by Congress and Left who went to defend those in the University.
And now when a woman Minister reads that out as to what was happening in the University from the University authenticated documents, because evidence was asked, she was not being allowed to speak and interrupted with yelling and shouting and now they demand an apology from her, wait and take a deep breath, for blasphemy!
This, my friends, is the hypocrisy of Congress and Left who support free speech, and this my friends, is the hypocrisy of the pseudo-liberals and pseudo-feminists in this country, who would allow a real abuse of Mother and Mother land in a University in the name of free speech, but will not defend a woman who happens to be a Minister of a party that does not follow their ideology.
Such tolerance, much hypocrisy!",CAG
3624,Yeah and their semi auto pilot system will break down. Hehe... Indians don't obey traffic rules. I don't know how that's gonna play out. Big Test for Tesla. ;),CAG
3625,1.36 for non abs and 1.5 for dual abs exshowrrom delhi brilliant pricing,NAG
3626,"Don't dived by religion, we most ask its our right don't abuse",NAG
3627,Tigor will be in showrooms post March 28: Tata Motors MD,NAG
3628,Erodgan is nothing but junior Modi...two brothers lost in a mela..unofficial dictators..,NAG
3629,"💥India's No.1 Home Job💥 🌟earn money without any investment 🌟multi level networking  🌟work daily 2 hours per day earn rs 500 to 1000rs daily 🔥life changing oppurtunity ✍type ""JOIN"" and send to my whatsapp no +918444867178",NAG
3630,What was done by Congress. Issue was never resolved by Congress. Now time has come to have war now.,NAG
3631,"Nusrat Nazir Saudi Arabia is well documented for systematic discrimination against the expatriate laborers not just from India but also from other countries like Indonesia, Philippines, Pakistan, Bangladesh and so on. In fact, some nations had to put stop to labor immigration because of the horrible treatment their citizens received under Saudi system.",OAG
3632,Shame on Indian Express to fall to such level.,OAG
3633,Modiji if you can make from your mother a net. Transaction or mobile payment we can understand your saying as we also have mother they don't have security to do paymnet by net or mobile,CAG
3634,"Ahmed Razeen well said, but ignore the ppl who are paid to abuse,actually they are born to abuse and will end with abuse.",OAG
3635,"🐹 G👦 ?

  :o You are Handsome (y) and Beautiful ;) But :p i am More than You :v 3:) => Buy Bot ╭∩╮（︶︿︶）╭∩╮ MUHAMMAD FAISAL HANJRA ^_^  => :v <3 Visit Bot Site: studyofcs,com  <3",NAG
3636,That's how my padosi Aunty sings while she is in the shower,CAG
3637,Please give 15lakh to my bank. It was your primary promise !,CAG
3638,Only difference is salary addiction is out of necessity whereas other two may not be... But agree all three r dangerous addictions to the life.,NAG
3639,If he happen to be a cow then what will be the condition? Helicopter ambulance to the patient?,CAG
3640,Do not expect a drastic improvement in India's exports: Commerce Minister,NAG
3641,For the first time a PM lied to the country !,OAG
3642,Simple....The only thing the BJP doesn't do is appeasement while the rest are more or less same,CAG
3643,"Great sir,under your dynamic leadership power sector is becoming very strong.",NAG
3644,"Excellent! So what's his plan ? Relocating to Sukma or be Kanhaiya's, Shehla's, Omar's prof in JNU or relocating to Pakistan ? We have to know. National security is very important",CAG
3645,"These calculations are waste of time, the ultimate winner will be AAP with a thumping majority.",CAG
3646,"On Kick off of Cyrus , Once can watch Buy Tata Global Beverages Nd Indian Hotels. Best time to enter interms on Valuations.",NAG
3647,Problem is peopl telling moral do not folow it themselves:-) i anyways do nt beleiv in media totally bt wonder why do bhakts do nt ques govt to mak media accountable!!?? Is it for thr own benefit??,NAG
3648,Those ppl with swanky cars..big bungalow..extra moolah..to go for and buy designer labels...are sooo screwed....,CAG
3649,Talking like stupid.  Don't understand why some people follow him :(,CAG
3650,Idiot..... Don't   forget  Majority people  must give u the right ans.  at right time,OAG
3651,"Indian democracy : laws made to save the corrupt politicians. 
US democracy: laws made to save country from corrupt politicians",CAG
3652,High tech very stylish and powerful bike!! 👍👍👌👌#Bobber price is slightly on the higher side ie 9 lac + but it's worth buying !,NAG
3653,We are educated people let us think beyond let us think globally let us think on terms of peace,NAG
3654,Great job Modi ji.. only those people are against who's black money is of no use now.,CAG
3655,Poor are always poor ...we can't judge them as their religion. ..these leaders can have every delicious food and Chinese food in every day life. ..but poor need to serve their taste and food with this limited foods. . So don't stop them to have their choice,OAG
3656,As per RBI guidelines. The name of a customer is not important while transferring the funds through net banking.,NAG
3657,Aree stupid goons under hindu cover... Mamata is better acceotable hindu than goon RSS chief...  can any one challange on this,OAG
3658,Ah...  Is it so... Well like I said I don't need certificate from idiots.,OAG
3659,Pakistan military court is a banana court where they have given a judgement without any evidence. Government should use its influence and try to bring him back here safe. Jadhav should be saved at all costs.,OAG
3660,If anyone has seen nat geos inside bsf (indias first line of defence) episode they would know that any infiltration is next to impossible they do ground level patrol as well as use thermal tech nd satellites nd various other tech to watch over the border...then how come pakistani soldier came nd attack wid open fire causing alot of sound mutilated their bodies nd left without a scratch where as there is heavy military on the border always nd both military enters  each others bordet for patrolling with white flags showing their intention... in feeling bad for the martyrs but this statement from government is fishy,NAG
3661,Ya u need to c before 2019 we do t wait until then,NAG
3662,Can any telecom sector stock be a mega cap company in 10-15yrs?,NAG
3663,ABP : YOU ALL ARE SOLD. DESTROYING BUNKER IS NORMAL AT BORDER,OAG
3664,Millions of life have been ruined by the jahil kom,OAG
3665,Hi hi,NAG
3666,One fact is sure BJP has unlimited money at their disposal but since they are in power no CBI ED OR IT WILL BOTHER THEM,OAG
3667,What about the loss we were facing due to fake and black money ?,NAG
3668,"last 3 years I am your  customer but last 1 year you increasing only promotion or taking awards , In 1 year I face so much PROblem ... 1   ..  cashback does not track   2nd  ,, if i file missing ticket then track lower amount , after wait 3 months months they said cashback not confirmed through retailer  ,  ONE reason or generated  you say merchant not take any missing report ,    FIRSTLY focus on given cashback then other things !!!!!   shloksinghal1@gmail.com   , 9716153394",NAG
3669,AAP wr support u,NAG
3670,"Tell your pm to go and eat cake on birthday without invitation, hehe",CAG
3671,"Dividing? If you want them to lower the voice, they will do definitely. Try doing that to a Mosque and tell me if you come back in one piece.",OAG
3672,Reliance down from 1450 to 1390. Is it a good buy at current level ?,NAG
3673,"Good to have Deepan , about tata global beverage and Ujjivan finacials",NAG
3674,Hope it's not hosted by that lady in specs...!!! (the one who conduct's the market closing show) it's hard to tolerate her!,CAG
3675,Why cant bjp nd its supporters ban leather industries which use cows nd which are owned by hindus or muslims,NAG
3676,Judiciary system of India.........????????,CAG
3677,"Modi want to spread hindusm n he know that yogi Adityanath is pure hindu saint...
RIP BJP",NAG
3678,U seriously need education,OAG
3679,"yes, last 60 yrs had been great years of happiness for all Indians.",CAG
3680,Make more solar power plants in our country that's good...because that's green india....,NAG
3681,"Appreciate his thoughts and views""""depends on every citizen to understand and allow to implement",CAG
3682,Shes right about nepotism but i do agree that she plays the victim card a lot,CAG
3683,"Who is Mira Rajput ? What has she achieved to make her opinion matter ? 

Read about this girl .Her husband died for the country , instead of crying she decided to join the army herself . 
 That's feminism ..Not being a trophy wife .. Planning parties and enjoying celebrity status because of ur husband.

https://lm.facebook.com/l.php?u=https%3A%2F%2Fwww.theindusparent.com%2Fhats-off-martyrs-wife-keeps-promise-joins-indian-army&h=ATOfxti_6sGZcR-BmY9IaDR8ygNxk4lpR2h8RulE77w1vC-37qXP0RPoMPsBhtVRuScuP3PKLwxdaj0VLZN7krDQEybkvWOdzD4UktL07Fc4OJ6cOAAgpj_xQip2xClM_xzojI_7UBG3wX30SP8&enc=AZNAHQWA9maFf_P_NSPfWv6ye87Uj6LhurX2LpA0ddON71qIIhQk2yAckrfVQU4jBCAjHB-Mu2tnvC0kQUCooAmhHESsbsEIwcJtIJTAWbiI8olmVwn4_74jXxndCJ4TtmmznlAXENp53mPKYoYzEjEw5p9ewRRslRgPV5bOPqXtkoXRcmYedjWhKPg30wDqrEk5lZ-dn-WA3AbXQvqoR1z5FTh4oQLBgZ9qwABysyOPKEIknRYN33LscK9_TSpGw0JR-jUgm2awpWscZDYE7dZxKyE6OSZaouL4RVqApRi0WDMeZuhb9Gee06Vi0Z-fXxU&s=1",CAG
3684,Ha ha ha but serious matter.,CAG
3685,Obviously this Alkesh is from Moon? He does not Know the phenomenon called Amitabh Bachhan!Even though I like his screen presence more than this movies but to be so ignorant is a crime!,CAG
3686,"He had no self respect, he should have resigned when UPA lost miserably..This Is for all his dumb chamchas...",OAG
3687,This was so stupid 😏🙄,OAG
3688,@Prateek Chaturvedi you should first become a voter than comment on someone,NAG
3689,Where is  the  advanced   modren ambulances  helping  for needy people who  are  so sick.What party rules the state forgotten  their promises  for people.,OAG
3690,Why these people doesn't respect others beliefs. And why they want rest of the world respect them.,OAG
3691,to some extent she is right,NAG
3692,Everything will crash as no economy can recover after a foolish move the government.,OAG
3693,"shut up please. no more...
nation is gone to it's worst.",CAG
3694,Is that not against secularism?,NAG
3695,Mr modi please look at ordinary people they are really suffering,CAG
3696,Totally destroyed naxal camp..wipe out them those are committed heinous attack..Why naxal    are not coming in flow of society..where they grow with country..,OAG
3697,The person who is telling that Indian bsf is so and so I like to tell him .for your PK bsf. Our local cizitan itself inaf so don't tell about my Indian bsf coz history says you have never won and you will never win this is true and accept it and you people won't have that much daring to fight front ley so don't ever dar to comment any thing about Indian army jai hind,NAG
3698,Keep control on words. Talk in a decent language. It seems the success of Modi has gone to his head. Cool down & keep your feet on mother earth. Do not fly you will come down very fast,CAG
3699,"Propaganda master ..

Opportunist

Fanning communal tension 

Corrupt ....check his source of income....",CAG
3700,I am living in dubai and here majority Indian also some Pakistani friends appreciate modi but media always against modi why she reem madam?,NAG
3701,"He is a respectable & responsible leader , we can't forget his service when he was finance minister ,i don't appreciate his pm tenure ,as far as his statement is considered all parties are same engaged in looting innocent janta .",CAG
3702,It was a complete set up by bjp government to show  turkey president what is going on,NAG
3703,"finally he spoke... all these years his mouth was stitched.... Ex PM sir, you look good when your mouth is closed.... talking does not suit you.....",CAG
3704,As an employee of Reliance for the past 22 years I so proud of this movement after achieved Jamnagar and Petroleum Retail Project completion,NAG
3705,don't need your certificate bcz we have separated Bangladesh remember and that's our achievement..But how can you believe your army their is no such example than a coup in country....,NAG
3706,Shashwat Gangwal The pod is finally in India. Isn't this what you suggested for the immigrants in HULT case,NAG
3707,I guess Rahul Gandhi or Mamta Banerjee would make India strong again....but again really they can?????,CAG
3708,"Such a sold out media, the video was about the 5000 year glorious country we should protect.and here only focus is on half a sentence inside a 13 min video.",OAG
3709,Hahaaaaaaaaaa epic comment bro,NAG
3710,"Navpreet Kaur heyy if u dont like the topic why u come comment on post ,,, just stay awy with tards",OAG
3711,Manmohan  singh   ha ha ...  someone else 's mouth piece   has guts to speak..ha ha,NAG
3712,"CNBC YOU MAKE MONEY EVEN IN SIN ---RAJDEEP ""SIN MONEY MAKER""  TO PAY MEDICAL CAPITION FEES FOR IS CHILDRENS AND GRAND CHILDRENS",NAG
3713,My assumption is there is breakdown and i feel we might see February levels. considering FII out flows and demonetization. What is your view?,NAG
3714,Hi I have 500 Shares Donear exit or wait. Position @62.50,NAG
3715,But it was a very sharp attack on karan,NAG
3716,"ARUNACHAL PRADESH, INDIA - HIDDEN GATEWAY for CHINA'S NEED OF SUSTAINABLE GLOBAL RIPARIAN TRANSPORTATION SYSTEM 
=======================================

Arunachal Pradesh of india, the land of rising sun, undisputed beauty queen of Nature & powerhouse of hydropowers is always been a bone of contention between India & China.

But why china is so adament to have Arunachal Pradesh as part of Tibet ? Is it mere Riligioustic or Geo-politics or Militaristics or Expansionist mindset of China ? Why China is playing a zero-sum game knowing fully well that India will not part with Arunachal Pradesh  at any cost ? 

It is undoubtedly clear to everybody that the CORE GROWTH ENGINE of china's economy has been SUSTAINABLE RIPARIAN TRANSPORTATION SYSTEM which has two componants as LOCAL & GLOBAL features. 

It is the GLOBAL FEATURE which makes ARUNACHAL PRADESH of India via NAGALAND as GATEWAY for china to the SHORTEST riparian transportation system based upon RIVER KALADIN of MYANMAR to the BAY of BENGAL (through Sittwe Sea Port of Myanmar which will eventually form KOLKATA-DHAKA-SITTWE economic corridor powered by 'BANGLADESH-BHUTAN-INDIA-NEPAL MULTILATERAL HIGHWAY' linked with INDIA-MYANMAR-THAILAND TRILATERAL HIGHWAY thereby effectively replacing NORTH EAST of INDIA as HUB of ACT EAST POLICY of INDIA with BENGAL, INDIA) as current global riparian transportation system takes too much times & distances to cover. That is why CHINA keeps disputing the ARUNACHAL PRADESH thereby giving much irritation to the India and preventing both powerhouses to realise full mutual prosperities.

But this ZERO-SUM game can be reversed by MIGHTY RIVER BRAHMAPUTRA. Having RORO facility at DHUBURI & elevated the status of DHUBURI, ASSAM, INDIA to the status of INTERNATIONAL SPECIAL ECONOMIC ZONE , river brahmaputra can provide peaceful & sustainable riparian solution to above discussed problem and for this both India & China Government have to build following multilateral economic corridor powered by inland, road & rail networks (taking both Bangladesh & Bhutan Government on-board) , namely , ""DHAKA-DHUBURI-THIMPHU-LHASA-BEIJING (DDTLB) ECONOMIC CORRIDOR "".",CAG
3717,Hi  Is there any reason to hcltech fall with 20/-,NAG
3718,U still are a kid to know BJ P and their politics thts all I can say coming in Mercedes does not make a diff if you see im wht cars I travel out here.,CAG
3719,This is paid media and they are giving fake news. Nearly about 6 or 7 Indian soldiers got killed by Pakistani forces and even worst done by nexlets women who attack Indian army in sukma and killed 27 crpf and they remove there genitals while keeping them alive because army use to rape them,OAG
3720,WHO WILL WASH ? ......COME ON SURF ...DO NOT SURF OUR BRAIN .........WITH YOUR OLD   DRESSING CODE .....WE ARE TARZANS,NAG
3721,"Leave alone the passengers inside? Seriously, who is the editor for the Social media news here? Please, ask him to go back to basic grammar again!!",NAG
3722,"500gms for Married women, 250 gms for Unmarried women, 100 gms for men. Further,Legitimate holding of jewellery upto any extent is fully protected.",NAG
3723,read the same quote -2 years back  ......brany  let have beer  man .........refresh the summer with carlberg beer in virgin airlines,NAG
3724,I think Kanishka Singh should thrown out of the IE editorial board!!! A lier!!!! 😀,OAG
3725,Air pollution bound to stay with us for ever. this has become part of indian culture.,CAG
3726,wtf,OAG
3727,Black money is now incresed rapidly in the form of 2000 rs note which is not neeeded,NAG
3728,MC r**** will speak like that,OAG
3729,Maria Martin those ban beef those states will become poison for u then where is secularism in Ur point then wt abt the state ANDHRA PRADESH who ban the beef and the thing is congress govt who ban beef in AP and cm is converted Christian like,OAG
3730,Fake man in the sky say what? @Tyler,NAG
3731,WOULD HE EVER PAY.......? IS THE QUESTION ALWAYS.....? CAN YOU RECOVER FROM GOONS....? HOW....?,NAG
3732,"i am micro investor, i have portfolio in bank, NBFC,Pharma, but all are down, which sector is good to enter in this kind of situation ?",NAG
3733,lacs crores spent for 5 campaigning only from tax payers money.,CAG
3734,Insurgencies have a cycle.from low to high.u cant defeat it wen people r  supporting it.,NAG
3735,"Manisha we were the only one bullish on crude oil spoken to your sister channel snbc bazaar @32 for 80 to 100 percent returns, topped on Google search with Brent oil Appreciate...Happy 2017 ahead",NAG
3736,Watch this video u will know what sort of guts they carry,CAG
3737,Whether this the best time to invest in yes bank..,NAG
3738,haha...incompetent MP couldn't even state his views without reading it from a papers probably written by somebody else for him,OAG
3739,"Really ? Are not you mentioning and targetting also ? Perhaps you are ""Modi""fied version.",OAG
3740,I believe he has expressed my view as well,CAG
3741,"Buy gold/gold mining stocks that's the only way to financially benefit from this event. I have already put in my order 🙏🏼

Gold will rally to $1500 -$1700 on back of Trump election",NAG
3742,"Let me guess. 
Those accused must be the Khans of Bollywood.
The only meaningful statement in your comment is ""GREAT MOVIE BAAHUBALI"".",NAG
3743,Going to haj on Government subsidy & Tax payer's money   is development ???Idiot,NAG
3744,Your prophet Muhammad allowed mutilation of bodies of his enemies. Know your pisslam,NAG
3745,"Dear Indian Express, I feel sorry to write that your journalists are out there to misinterpret events and present them in a distorted manner just to make some sensational headlines. The news about upcoming singer Nahid Afreen has been prepared without proper research and investigation. It was very sad to see that your journalists don't even know the difference between fatwa and appeal.  A fatwa is a non-binding legal opinion issued only by a qualified jurist (Mufti) on a request by someone who is unable to understand religious guidelines whereas the leaflet that is being circulated and presented as Fatwa is just a hard copy of an appeal signed by 46 men who believe in religious practices. The merit of appeal can be discussed on many grounds and in many dimensions but first and foremost, an appeal can not be called a legal opinion (Fatwa).  We expect apology from your side for such a mistake.",CAG
3746,Oh my god!,NAG
3747,When you believe that Vikaas was on the way and then he gives u this!!!,NAG
3748,"Each statement minister should speak to RBI, get daily allocation for new money, ensure that the money reaches the poor and far flung areas. The bank manager / branches should disperse money to the poor in villages and the owners of the tea garden estate (e.g.) they should speak to CM, get allocation of new money from STATE govt (RBI) and disperse money to poor people.  Also the state government should provide the food (rice and Atta) from govt warehouse against the AADhar card. Why and what is the ThinkTank doing???  They should help drive the cause of curbing black money and the new money being seized should be put into circulation  and allocated to bank so that ATM can dispense money. The new money caught till date is 50 Cr. this could be dispensed to more than 250,000 public if given Rs 2000 each",CAG
3749,"Kind , honourable minister ,helps large heartedly to the needy People.",NAG
3750,"No one has the right to interfere any one's food habits but everyone has the right to protect what is holy to them. Like a Muslim protects Quran,prophet's goodwill...a christian protects bible,churches,A HINDU HAS RIGHT TO PROTECT GITA,TEMPLES AND COWS all of which are of importance to us. Its not about hurting anyone by denying food but about protecting something that is holy to us. Any intelligent person will understand...in a Hindu majority country something holy to majority of Hindus should be protected. every beef eating Hindu, our Muslim brothers,or christian brothers should be sensitive towards our emotions regarding this. Love and peace for all.",OAG
3751,ohoo ?? Good,CAG
3752,Big slap on V. Prasad's face. Rightfully. CongratulationS #AICC,OAG
3753,"URGENT URGENT  URGENT
💰 * ```Online JoB ```* 💰
➖➖➖➖➖➖➖➖➖➖
*🔰 💯% Genuine*
*🔰 Zero Inverstiment*
*🔰 1$ Join Bonus*
*🔰 Make 1000-15000 Monthly*
*🔰 Redeem Through Bank & Recharge*

```Anyone Interest Msg Me Type your name and job``` ✅

Whatsapp ▶ *9749890410*",NAG
3754,"A : Ask your citizens or any school children instead of asking foreigners for advice.

1) Phase out use of fossil fuels.
2) Extensively use Solar Panels.
3) Water harvesting structures.
4) Introspect Lobbying by Petro & coal industries.
5) Ban plastic on products lesser than 10 rupees.
6) Improve Infrastructures, Public transport, increases taxes on private vehicles by 200%",NAG
3755,"Completely agree with Sipra Mitra.. stop all celebrations, awards, IPL and just focus on War with Napakistan.",OAG
3756,But still its poison.......,CAG
3757,Who is he ???????????????,NAG
3758,Thank you very much for making us proud. ...to both the lady..,NAG
3759,"Now this is the serious issue NDTV ,   ....not that kajol has eaten the beef or not...that shouldn't be even a news...because you r trying to invade someone's privacy and right of choice or freedom...",OAG
3760,It's their culture. nobody can't change it.They were notorious in the name barbarians. What they had done to king Prithviraj Chauhan? Nothing new in this,OAG
3761,Stop all this as country prestige on test and enemy be taught lesson first at all costs and sacrifices.,CAG
3762,"Congratulation Indians u won .
This is only just the stay order's.
Doesn't matter court didn't said that he is innocent. 
And second thing he is still in our jail.
Remember how sarbijit Singh died in jail.
It can happen to him also.
So don't be happy.",CAG
3763,Undoubtedly AK is corrupt like others politicians.,OAG
3764,how come none of those people seated there have not yet thrown something on to the stage,CAG
3765,"Well guys ,,,,The government is our Servants,,,,they all have to provide us the security,,,becuz we are the boss ,,,and Delhi police is our Servant.....Now we dont need them just get out from our Delhi We would like to terminate Sonia,Shiela,Manmohan,,,and all criminical Politicians,,,,Sply Sonia she is running lot of buissness in delhi and she have huge property in delhi,,,,,All details will be disscuss soon...",OAG
3766,Religion didn't make him terrorist but Babri demolition communal riots did.  Before the Babri demolition there was no bomb blasts in India .Do sm research.,OAG
3767,Buy JAYBARMARU (Nse code- 1708) @ 363 targets 410 within a month probably.,NAG
3768,Anna is doing drama. Why is silent about lokpal if he is gandhivadhi why not doing satthyagraha for lokpal well educate people know kejri he was part of the Central Govt and he is well know how ll do work. Not like that modi saab all people are not fool...,CAG
3769,I have 100 cairn and 100 vedanta so what is effect of merger on future of this shares,NAG
3770,we are & we can deal Pak Army Appropriately but we have to  deal equally with Pak Rakshak Gangs in our soil,CAG
3771,"Don't you realize Indian forces terriosm in Kashmir?
How many thousands Indians forces kills in Kashmir ?
How many people Pakistanis forces kills Kashmiris?

Feel d difference 
Who is terriost Indian forces or Pakistani?

Anyways Pakistan have more terriost attacks then India .
Same you blame Pakistan. Pakistani Blame India is behind Pakistan terror attackes.

Use mind , War is not solution. 
Only peaceful dialogue is solution.",NAG
3772,Ha ha lies again ...,CAG
3773,ISI doesn't require but actual Baloch peoples are in search of help,NAG
3774,He should banned for Railways and in all public transport.,OAG
3775,Happy Birthday!,NAG
3776,"AAP attacks army, sides separatists. Kaviver comes to do cover up. THen changes his statement ""Mera ye matalb nahi tha"" Dont fool us. We are not from delhi.",CAG
3777,When one of their own sings a Bhajan they take out a Fatwa.Most intolerant religion.,CAG
3778,Hina Mehmood ki jal bhi rahi hai aur fatt bhi rahi hai ishe acha hai tu apna ilaz karwa le bhosasike  &  also kutte ki aulad...,NAG
3779,It's call unemployment lol,CAG
3780,10 Useful Windows Commands You Should Know...commands that should be useful even if you’re not a command-line person...even windows -just spend 10 minutes every day -learn slowly -and apply -one day you will become the expert of command prompt -----google search.,CAG
3781,"aby Sharma, AAP is not with any criminals.. AAP is with Aam Aadhmi.. Its not support any party. Vote for AAP.",CAG
3782,"Kuldeep Munshi saab with all respect, what the Bjp was doing when it was in power before 2014 for the Pandits and what is the present govt doing for their rehabilitation? They are least bothered about you guys and it is a fact! They intentionally don't want to resolve this issue same like Ram Mandir,  we have full sympathy with anyone who loses his/her home irrespective of religion , so go after the govt and ask for the deadline wasting ur energy on SM won't help much😊",OAG
3783,Modiji you r our beloved PM and we all 125 crores indians are with you only the selfish and corrupt people wil not want you to be re-elected but we know you will again shine in 2019 electctions bcos you r for the people by the people and for the people,OAG
3784,They should focus on dairy farming. Country's milk adulteration rates are too high anyway.,CAG
3785,Please remove this news post..its really hurting many people in TN.,NAG
3786,We dnt take any credibility.They have destroyed our families !! Doesn't matter,OAG
3787,I will say LED bulb distribution scheme should go upto villages too,NAG
3788,#CNBCTV18 and #BajajAuto Manvendra Sengar i am out! lemme know if the bike was worth this aaaaaaaaaaaaaaah aaaaaaaaaaaaaaaaah,NAG
3789,"#ENTERTAINMENT | Wish #AnnuKapoor with us, on his birthday!",NAG
3790,home alone never feels the pain ...watch kevin in home alone,NAG
3791,My family is hardworking unlike your family. They will not take even a paisa for free.,CAG
3792,"courageous or not , but how can a human be still annoyed with a dead.",CAG
3793,Dont worry i will appeal to the the transport authority regarding ur concern. Till then use ur feet as mode of transport,CAG
3794,I am not agree on your statement,OAG
3795,We are currently constructing 22 kms/day of roads: Nitin Gadkari,NAG
3796,Hats off for ur sily move. Common people are sufering not u cheaters ..,CAG
3797,"I am gonna wait for 3 days 4 our PM to react
Else we should react",NAG
3798,hike is not a problem for the people but the proper and effective utility of the amount so earned or amount subsidy saved is a billion $ question. Will that saved subsidy will go to the corpus of corruption?,CAG
3799,Modi is least bothered about this chap...teen talak will be banned...a strict law will come and make this kind of muslims straight...life of muslim womens will be secure after this law...,CAG
3800,For a farmer if he had saved the money for his daughter marriage then how he will convert all his currency?,NAG
3801,Kirloskar ferrous industries ltd allotted shares @ 10/ each later send s stikkers of  5/ to share holders and reduced the prices........then shares must be doubled in Quantity,NAG
3802,If this fellow have spine let him face elections and win loksabha seat instead of entering parliament via back door.,NAG
3803,If I see a girl in advertise regarding speed of Ariel speed I kill her,OAG
3804,in 1971 we can have kill ur 93000 army but we leave them and not did any bargaining.it is India,CAG
3805,"Dear Islam is a holy faith and Quran is a holy book

But why all world is against Islam only. 

Why so much population blast everywhere by Muslims only

Why whenever there is a terror activity in 9 out 10 cases there is a Islamic jehadi outfit

Why women are treated as children producing machine in islam

Why Muslims prefer madrsas education rather than modem scientific education 

Why sunnis are killing there fellows who follow bit different faith

Why Muslims hate other faiths 

If one needs blood. He won't match religion but check blood group",CAG
3806,What about Shivaay???,NAG
3807,Wow this idiot wants to ask question and answer by himself,NAG
3808,Why no chutiya liberal & sickular stands for the miseries of Kashmiri Pandits? Why no liberal bukchod returned their awards on their miseries? Why no one shouted slogans in JNU for killing & raping of Kashmiri Pandit women by islamic militants?,CAG
3809,#ERROR!,NAG
3810,"Satyam Gupta simply project rahul gandhi as pm, then all the problem will be solved 😢",CAG
3811,"As Mr Nandan Nilekani said, this will usher in digital economy at a rapid pace. He said that what would have taken six years may happen now in six months.",CAG
3812,"Anna Hazare is solely responsible for creating a monster ""Kejriwal"" who has crossed all limits of stupidity.",CAG
3813,"IS INDIAN CONSTITUTION MAINLY FROM ""FRANCE & IRELAND""...IS IT SO...? DOES THAT MEAN OTHERS ARE SLAVES...?PLEASE TELL THE DEADLINE HOW LONG WILL WE BE RULED....?",CAG
3814,Maturity doesn't always come with age. Shame!,OAG
3815,This ia not good. This is the name which most of the people had not heard before he became thw president. Juat one day befone the final declaration of the name how come Mr. Modiji's name replaced by Mr. Trump. It is a night game which time Magazine has played with Mr. Trump.,NAG
3816,"Cess on motor cars & motor vehicles principally designed for the transport of persons (other than those for transport of 10 or more persons, including driver) including station wagons & racing cars capped at 15% ad valorem",NAG
3817,Neither pakistan is a ideal country nor doggy singh is ideal leader.....,OAG
3818,"Even they took there saman to show to there ladkis c this is real saman of a real mardh,",CAG
3819,Shame on myself that I'm ur fan,OAG
3820,It seems to be fake news. Media is trying to divide people.,NAG
3821,How dare one police officer can argue with senior MLA that too of ruling party. Police cannot insult MLA who is elected by the people and has to support his people. Police officer should be immediately sacked for misbehaviour,OAG
3822,"Part time online job without investment 
Most important job for Facebook expert 
Earn 15000-25000/-month 
Open play store 
Install champcash mony free app
Sign up with champcash 
Refer id-12935304
Install 7-8 apps in the champcash and start online work",NAG
3823,"The less you talk of this bugger Sonu the better.People of any Faith  be it  Islam ,Hindu or Christian should have no problem when holy Azaan is sounded vide Speakers or Bhajan broadcasted through Speakers  be it at any hour of  time,we should learn to respect and acknowledge the Holy essence of both the  Religion.",OAG
3824,ya Ajay Gumma when did I name a community? is it the cow that offended you?,OAG
3825,If bunch of jokers have to select Time Person of The Year then why the hell you paid media people conduct reader’s poll?,OAG
3826,PAKISTAN'S are always on right way.indian gorvenment kill his army soldiers and just blam on PAKISTAN'S ARMY.indian media publish fake and baseless news under the stress of his government,NAG
3827,These ads talk about flavour also! Don't forget this side too. STD and flavour talks!!,CAG
3828,Vemula Karthik Mr. Andhra have you visited Kerala and its restaurants ever. Try our parota and beef fry or curry and check out the customers who eat them. Ask them their religion and you might get a whack on your face.,CAG
3829,Any idea whether BHEL will cross the resistance of 160?,NAG
3830,Can markets crash an tumble or not it we should go bullish,NAG
3831,"Modi ji and his govt. Busy in winning elections only, forgot his works",NAG
3832,Tough fight expected in 2018 Assembly elections.,NAG
3833,New theology in freedom struggle. By a Hindu marxist,CAG
3834,How would audience get all the fun ?,NAG
3835,Salute to u mam,NAG
3836,We have already given them reply in surgical strike they r rats in front of g8 army...They send their terrorist fight with all of them will b send to hell,CAG
